Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
Housefull Cafe Lounge,"Hudson Lane, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",4.2,283,1800
Taco Bell,"Kamla Nagar, North Delhi", North Delhi,Delhi,"Mexican,  Tex Mex,  Tex Mex",4.5,125,500
Sandoz,"Rajouri Garden, West Delhi", West Delhi,Delhi,"North Indian,  Chinese",4.4,1082,1200
Off Campus,"Satya Niketan, South Delhi", South Delhi,Delhi,"North Indian,  Italian,  Continental,  Fast Food",4.2,1157,1000
The Yellow Chilli,"V3S Mall,Laxmi Nagar, East Delhi", East Delhi,Delhi,"North Indian,  Mughlai",4.2,482,2000
Gram by Taksim,"Ansal Plaza Mall,Khel Gaon, South Delhi", South Delhi,Delhi,"North Indian,  Asian,  Italian,  European",4.1,844,2200
Xero Degrees,"Satya Niketan, South Delhi", South Delhi,Delhi,"Italian,  Fast Food,  Shakes",4.4,58,900
The Barbeque Company,"Karkardooma, East Delhi", East Delhi,Delhi,"North Indian,  Barbecue,  Chinese",4.3,1372,2100
By The Bay,"Hudson Lane, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  American,  Seafood",4.1,622,1800
Cafe Delhi Heights,"Unity One Mall,Janakpuri, West Delhi", West Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.4,451,2000
Cafe Delhi Heights,"Sangam Courtyard,RK Puram, South Delhi", South Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.5,1046,2000
Chili's American Grill and Bar,"Pacific Mall,Tagore Garden, West Delhi", West Delhi,Delhi,"Mexican,  American,  Italian",4.5,1157,2000
Vikrant Cafe,"Kamla Nagar, North Delhi", North Delhi,Delhi,"North Indian,  Fast Food,  Chinese,  South Indian",3.7,81,700
Tippling Street,"Rajouri Garden, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Continental,  Asian",4.3,1435,1800
The Bowton House Cafe,"Satya Niketan, South Delhi", South Delhi,Delhi,"North Indian,  Chinese,  Italian,  Continental",3.7,227,800
Bhukkad's Cafe,"Kamla Nagar, North Delhi", North Delhi,Delhi,Fast Food,4.7,3,400
JD Theatre Cafe,"Ashok Vihar Phase - 1, North Delhi", North Delhi,Delhi,Fast Food,4.7,5,500
Moti Mahal Delux,"South Extension - 2, South Delhi", South Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.4,470,1500
The Laalten,"Kamla Nagar, North Delhi", North Delhi,Delhi,"North Indian,  Continental,  Oriental ,  Fast Food",4.2,383,1600
Govardhan Vegetarian,"Kamla Nagar, North Delhi", North Delhi,Delhi,"North Indian,  Chinese,  South Indian",3.7,75,1000
Sambookas,"DDA Market Complex,Hudson Lane, North Delhi", North Delhi,Delhi,"Italian,  Continental,  Fast Food",4.3,553,1200
Clay 1 Grill,"Kirti Nagar, West Delhi", West Delhi,Delhi,North Indian,4.2,624,2000
Cafe Chill'm,"Kamla Nagar, North Delhi", North Delhi,Delhi,"North Indian,  Fast Food,  Italian,  American",4.1,234,1800
Imly,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,"Street Food,  North Indian,  Chinese,  South Indian,  Fast Food",4.2,1363,800
The Hogwarts Kafe,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,"Fast Food,  North Indian,  Italian,  Continental,  Mexican,  Lebanese,  Oriental ",4.2,221,1200
Chimney Sizzlers,"Yashwant Place,Chanakyapuri, South Delhi", South Delhi,Delhi,"Chinese,  Fast Food",4.5,3,800
Sixth Empirica,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Italian,  Chinese,  Continental",4.1,1008,1200
Limitless,"Ansal Plaza Mall,Khel Gaon, South Delhi", South Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.2,681,2000
TESORO MIO KITCHEN 'N' KAFFE,"Preet Vihar, East Delhi", East Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mexican",4.1,570,1600
Tikka Junction,"Kamla Nagar, North Delhi", North Delhi,Delhi,"North Indian,  Chinese",4,1,1500
Blackmail Lounge,"Kamla Nagar, North Delhi", North Delhi,Delhi,"North Indian,  Italian,  Chinese",4.4,54,1400
The Flying Saucer,"Epicuria Food Mall,Nehru Place, South Delhi", South Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Continental,  Mediterranean,  Oriental ",4.1,1832,2800
The Crypto Door,"Vijay Nagar, North Delhi", North Delhi,Delhi,"Continental,  American,  Italian,  Lebanese,  Fusion",4.7,51,800
3 Friends Pizza,"Pandav Nagar, East Delhi", East Delhi,Delhi,Pizza,5,1,400
Moets Curry Leaf,"Defence Colony, South Delhi", South Delhi,Delhi,"North Indian,  Mughlai,  Kashmiri",4.1,239,2000
Le Cirque,"The Leela Palace,Chanakyapuri, South Delhi", South Delhi,Delhi,"Italian,  Continental,  French",4.4,25,5000
Crazy Kitchen Rooftop & Lounge,"Satya Niketan, South Delhi", South Delhi,Delhi,"Fast Food,  North Indian,  Italian,  Chinese",4.3,268,700
Wow! Momo,"Laxmi Nagar, East Delhi", East Delhi,Delhi,"Fast Food,  Tibetan",3.5,12,400
The Qube,"The Leela Palace,Chanakyapuri, South Delhi", South Delhi,Delhi,"North Indian,  Italian,  Continental,  Asian",4.5,84,5000
Wow! Momo,"Kamla Nagar, North Delhi", North Delhi,Delhi,"Fast Food,  Tibetan",3.3,38,400
Cafe Delhi Heights,"Rajouri Garden, West Delhi", West Delhi,Delhi,"Continental,  Modern Indian,  Italian,  American",4.5,809,2000
